S.No,DATE,samvatsara,ayana,ritu,masa,paksha,TITHI  ,NAKSHTRA,YOGA,KARNA,Sh. Thithi,Raahu,Yamaganda,TITHI end time,NAKSHATRA END TIME,YOGA END TIME,KARANA END TIME,DAY,Events,masaniyamaka,S.Thithi End Time,Gulika,SUNRISE,SunSet,MoonRise,MoonSet
77,02-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Chaturthi,Purvashadha,Shukla,Bhava,,,,1:24 AM,6:58 AM,6:22 PM,12:24 PM,Shanivara,,Aananda-Purushothama,,,6:06,,,
78,03-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Panchami,Uttarashadha,Brahma,Kaulava,,,,3:24 AM,9:36 AM,7:02 PM,2:24 PM,Ravivara,,Aananda-Purushothama,,,6:06,,,
79,04-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Shashti,Sharavana,Indra,Gara,,,,5:11 AM,12:08 PM,7:35 PM,4:17 PM,Somavara,,Aananda-Purushothama,,,6:05,,,
80,05-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Saptami,Dhanishta,Vaidhriti,Bhadra,,,,6:05 AM,2:27 PM,7:56 PM,5:56 PM,Mangalavara,,Aananda-Purushothama,,,6:05,,,
81,06-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Saptami,Shatabhisha,Vishkambha,Bhava,,,,6:41 AM,4:26 PM,7:59 PM,6:41 AM,Budhavara,,Aananda-Purushothama,,,6:05,,,
82,07-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Ashtami,Purvabhadra,Priti,Kaulava,,,,7:45 AM,5:59 PM,7:41 PM,7:45 AM,Guruvara,,Aananda-Purushothama,,,6:05,,,
83,08-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Navami,Uttarabhadra,Ayushman,Gara,,,,8:18 AM,7:01 PM,6:58 PM,8:18 AM,Shukravara,,Aananda-Purushothama,,,6:04,,,
84,09-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Dasami,Revati,Soubhagya,Bhadra,,,,8:23 AM,7:34 PM,5:52 PM,8:23 AM,Shanivara,,Aananda-Purushothama,,,6:04,,,
85,10-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Ekadashi,Ashwini,Shobhana,Balava,,,,7:57 AM,7:38 PM,4:22 PM,7:57 AM,Ravivara,,Aananda-Purushothama,,,6:04,,,
86,11-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Dwadashi,Bharani,Atiganda,Taitila,,,,7:03 AM,7:16 PM,2:31 PM,7:03 AM,Somavara,,Aananda-Purushothama,,,6:04,,,
87,12-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Chaturdashi,Krittika,Sukarma,Bhadra,,,,3:59 AM,6:29 PM,12:18 PM,4:50 PM,Mangalavara,,Aananda-Purushothama,,,6:03,,,
88,13-Jun-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Krishna,Amavasya,Rohini,Dhriti,Chatuspat,,,,1:59 AM,5:22 PM,9:49 AM,2:59 PM,Budhavara,,Aananda-Purushothama,,,6:03,,,
89,14-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Pratipad,Mrigashira,Sula,Kimstugna,,,,11:45 PM,4:01 PM,7:07 AM,12:53 PM,Guruvara,,Raama-Trivikrama,,,6:03,,,
90,15-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Dvitya,Ardra,Vriddha,Balava,,,,9:22 PM,2:29 PM,1:13 AM,10:34 AM,Shukravara,,Raama-Trivikrama,,,6:03,,,
91,16-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Tritiya,Punarvasu,Dhruva,Taitila,,,,6:54 PM,12:50 PM,10:10 PM,8:09 AM,Shanivara,,Raama-Trivikrama,,,6:03,,,
92,17-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Chaturthi,Pushya,Vyaghata,Bhadra,,,,4:25 PM,11:09 AM,7:06 PM,4:25 PM,Ravivara,,Raama-Trivikrama,,,6:02,,,
93,18-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Panchami,Ashlesha,Harshana,Balava,,,,2:03 PM,9:33 AM,4:09 PM,2:03 PM,Somavara,,Raama-Trivikrama,,,6:02,,,
94,19-Jun-18,Vilambi,Uttarayana,Grishma,Nija-Jyeshtha,Shukla,Shashti,Makha,Vajra,Taitila,,,,11:50 AM,8:06 AM,1:20 PM,11:50 AM,Mangalavara,,Raama-Trivikrama,,,6:02,,,
